mutation_id,cluster_id,family,surface,etdi_style,microsoft_specific,microsoft_rug_pull,dctr_status
P01,PCL01,Playwright MCP,tool description/name/title,EXPLICIT_REAPPROVAL,INFO,CRITICAL,DEVELOPMENT_SET_AUTHOR_REFERENCE_L3
P02,PCL02,Playwright MCP,required parameter addition,EXPLICIT_REAPPROVAL,CRITICAL,CRITICAL,DEVELOPMENT_SET_AUTHOR_REFERENCE_L2
P03,PCL03,Playwright MCP,required removal/default/enum,EXPLICIT_REAPPROVAL,CRITICAL,CRITICAL,DEVELOPMENT_SET_AUTHOR_REFERENCE_L2
P04,PCL04,Shortcut,tool/property description,EXPLICIT_REAPPROVAL,INFO,CRITICAL,DEVELOPMENT_SET_AUTHOR_REFERENCE_L2
CFXM01,SCFX01,CXWorld/CapFrameX,model-visible semantics | /description,EXPLICIT_REAPPROVAL,INFO,CRITICAL,PENDING_HELD_OUT_INDEPENDENT_ANNOTATION
CFXM02,SCFX02,CXWorld/CapFrameX,model-visible semantics | /description,EXPLICIT_REAPPROVAL,INFO,CRITICAL,PENDING_HELD_OUT_INDEPENDENT_ANNOTATION
CFXM03,SCFX02,CXWorld/CapFrameX,model-visible semantics | /description,EXPLICIT_REAPPROVAL,INFO,CRITICAL,PENDING_HELD_OUT_INDEPENDENT_ANNOTATION
CFXM04,SCFX02,CXWorld/CapFrameX,model-visible semantics | /description,EXPLICIT_REAPPROVAL,INFO,CRITICAL,PENDING_HELD_OUT_INDEPENDENT_ANNOTATION
CFXM05,SCFX02,CXWorld/CapFrameX,model-visible semantics | /description,EXPLICIT_REAPPROVAL,INFO,CRITICAL,PENDING_HELD_OUT_INDEPENDENT_ANNOTATION
CFXM06,SCFX03,CXWorld/CapFrameX,input-schema addition | /inputSchema/properties/hookFreeRefreshRate,EXPLICIT_REAPPROVAL,WARNING,CRITICAL,PENDING_HELD_OUT_INDEPENDENT_ANNOTATION
CFXM07,SCFX04,CXWorld/CapFrameX,input-schema addition | /inputSchema/properties/overlayPositionHotkey,EXPLICIT_REAPPROVAL,WARNING,CRITICAL,PENDING_HELD_OUT_INDEPENDENT_ANNOTATION
CFXM08,SCFX05,CXWorld/CapFrameX,constraint-description expansion | /inputSchema/properties/hookFreeRefreshRate/description,EXPLICIT_REAPPROVAL,NOT_COVERED,CRITICAL,PENDING_HELD_OUT_INDEPENDENT_ANNOTATION
TFMX01,STFM01,Terraform MCP,annotation/trust-hint | /annotations/destructiveHint,EXPLICIT_REAPPROVAL,NOT_COVERED,NOT_COVERED,PENDING_HELD_OUT_INDEPENDENT_ANNOTATION
TFMX02,STFM01,Terraform MCP,annotation/trust-hint | /annotations/destructiveHint,EXPLICIT_REAPPROVAL,NOT_COVERED,NOT_COVERED,PENDING_HELD_OUT_INDEPENDENT_ANNOTATION
TFMX03,STFM01,Terraform MCP,annotation/trust-hint | /annotations/destructiveHint,EXPLICIT_REAPPROVAL,NOT_COVERED,NOT_COVERED,PENDING_HELD_OUT_INDEPENDENT_ANNOTATION
TFMX04,STFM01,Terraform MCP,annotation/trust-hint | /annotations/destructiveHint,EXPLICIT_REAPPROVAL,NOT_COVERED,NOT_COVERED,PENDING_HELD_OUT_INDEPENDENT_ANNOTATION
TFMX05,STFM01,Terraform MCP,annotation/trust-hint | /annotations/destructiveHint,EXPLICIT_REAPPROVAL,NOT_COVERED,NOT_COVERED,PENDING_HELD_OUT_INDEPENDENT_ANNOTATION
TFMX06,STFM01,Terraform MCP,annotation/trust-hint | /annotations/destructiveHint,EXPLICIT_REAPPROVAL,NOT_COVERED,NOT_COVERED,PENDING_HELD_OUT_INDEPENDENT_ANNOTATION
TFMX07,STFM01,Terraform MCP,annotation/trust-hint | /annotations/destructiveHint,EXPLICIT_REAPPROVAL,NOT_COVERED,NOT_COVERED,PENDING_HELD_OUT_INDEPENDENT_ANNOTATION
TFMX08,STFM01,Terraform MCP,annotation/trust-hint | /annotations/destructiveHint,EXPLICIT_REAPPROVAL,NOT_COVERED,NOT_COVERED,PENDING_HELD_OUT_INDEPENDENT_ANNOTATION
TFMX09,STFM01,Terraform MCP,annotation/trust-hint | /annotations/destructiveHint,EXPLICIT_REAPPROVAL,NOT_COVERED,NOT_COVERED,PENDING_HELD_OUT_INDEPENDENT_ANNOTATION
TFMX10,STFM01,Terraform MCP,annotation/trust-hint | /annotations/destructiveHint,EXPLICIT_REAPPROVAL,NOT_COVERED,NOT_COVERED,PENDING_HELD_OUT_INDEPENDENT_ANNOTATION
TFMX11,STFM02,Terraform MCP,security-sensitive default/constraint | /annotations/destructiveHint;/inputSchema/properties/run_type/enum,EXPLICIT_REAPPROVAL,NOT_COVERED,CRITICAL,PENDING_HELD_OUT_INDEPENDENT_ANNOTATION
TFMX12,STFM03,Terraform MCP,model-visible semantics | /description;/inputSchema/properties/private_module_id/description,EXPLICIT_REAPPROVAL,NOT_COVERED,CRITICAL,PENDING_HELD_OUT_INDEPENDENT_ANNOTATION
PLWM01,SPLW01,Playwright MCP,model-visible path semantics | /inputSchema/properties/filename/description,EXPLICIT_REAPPROVAL,NOT_COVERED,CRITICAL,PENDING_HELD_OUT_INDEPENDENT_ANNOTATION
PLWM02,SPLW01,Playwright MCP,model-visible path semantics | /inputSchema/properties/filename/description,EXPLICIT_REAPPROVAL,NOT_COVERED,CRITICAL,PENDING_HELD_OUT_INDEPENDENT_ANNOTATION
PLWM03,SPLW01,Playwright MCP,model-visible path semantics | /inputSchema/properties/filename/description,EXPLICIT_REAPPROVAL,NOT_COVERED,CRITICAL,PENDING_HELD_OUT_INDEPENDENT_ANNOTATION
PLWM04,SPLW01,Playwright MCP,model-visible path semantics | /inputSchema/properties/filename/description,EXPLICIT_REAPPROVAL,NOT_COVERED,CRITICAL,PENDING_HELD_OUT_INDEPENDENT_ANNOTATION
