transition_id,server_family,repository,before_boundary,after_boundary,cluster_date,tool_identity,transition_type,evidence_status
CFX001,CXWorld/CapFrameX,CXWorld/CapFrameX,5b0ea73b1588369d6f74a3100de0dc64a6ecb8f5,10847c37903113bbddd66246236dba4733f1473d,2026-04-26,cfx_ping,introduction,source-verified
CFX002,CXWorld/CapFrameX,CXWorld/CapFrameX,5b0ea73b1588369d6f74a3100de0dc64a6ecb8f5,10847c37903113bbddd66246236dba4733f1473d,2026-04-26,cfx_list_records,introduction,source-verified
CFX003,CXWorld/CapFrameX,CXWorld/CapFrameX,5b0ea73b1588369d6f74a3100de0dc64a6ecb8f5,10847c37903113bbddd66246236dba4733f1473d,2026-04-26,cfx_get_record,introduction,source-verified
CFX004,CXWorld/CapFrameX,CXWorld/CapFrameX,5b0ea73b1588369d6f74a3100de0dc64a6ecb8f5,10847c37903113bbddd66246236dba4733f1473d,2026-04-26,cfx_search_records,introduction,source-verified
CFX005,CXWorld/CapFrameX,CXWorld/CapFrameX,5b0ea73b1588369d6f74a3100de0dc64a6ecb8f5,10847c37903113bbddd66246236dba4733f1473d,2026-04-26,cfx_get_metrics,introduction,source-verified
CFX006,CXWorld/CapFrameX,CXWorld/CapFrameX,5b0ea73b1588369d6f74a3100de0dc64a6ecb8f5,10847c37903113bbddd66246236dba4733f1473d,2026-04-26,cfx_compare_records,introduction,source-verified
CFX007,CXWorld/CapFrameX,CXWorld/CapFrameX,5b0ea73b1588369d6f74a3100de0dc64a6ecb8f5,10847c37903113bbddd66246236dba4733f1473d,2026-04-26,cfx_get_sensor_summary,introduction,source-verified
CFX008,CXWorld/CapFrameX,CXWorld/CapFrameX,5b0ea73b1588369d6f74a3100de0dc64a6ecb8f5,10847c37903113bbddd66246236dba4733f1473d,2026-04-26,cfx_analyze_bottleneck,introduction,source-verified
CFX009,CXWorld/CapFrameX,CXWorld/CapFrameX,5b0ea73b1588369d6f74a3100de0dc64a6ecb8f5,10847c37903113bbddd66246236dba4733f1473d,2026-04-26,cfx_diagnose_capture,introduction,source-verified
CFX010,CXWorld/CapFrameX,CXWorld/CapFrameX,5b0ea73b1588369d6f74a3100de0dc64a6ecb8f5,10847c37903113bbddd66246236dba4733f1473d,2026-04-26,cfx_diagnose_general,introduction,source-verified
CFX011,CXWorld/CapFrameX,CXWorld/CapFrameX,5b0ea73b1588369d6f74a3100de0dc64a6ecb8f5,10847c37903113bbddd66246236dba4733f1473d,2026-04-26,cfx_get_capture_timeline,introduction,source-verified
CFX012,CXWorld/CapFrameX,CXWorld/CapFrameX,5b0ea73b1588369d6f74a3100de0dc64a6ecb8f5,10847c37903113bbddd66246236dba4733f1473d,2026-04-26,cfx_get_current_system,introduction,source-verified
CFX013,CXWorld/CapFrameX,CXWorld/CapFrameX,5b0ea73b1588369d6f74a3100de0dc64a6ecb8f5,10847c37903113bbddd66246236dba4733f1473d,2026-04-26,cfx_get_capture_status,introduction,source-verified
CFX014,CXWorld/CapFrameX,CXWorld/CapFrameX,7bc8311347e4245ef75b5e7b1c42ba1a55d7e951,d5f9e3eddf70d65ca278a1707af750ce72d6bda2,2026-05-06,cfx_get_overlay_entries,introduction,source-verified
CFX015,CXWorld/CapFrameX,CXWorld/CapFrameX,7bc8311347e4245ef75b5e7b1c42ba1a55d7e951,d5f9e3eddf70d65ca278a1707af750ce72d6bda2,2026-05-06,cfx_get_logged_sensors,introduction,source-verified
CFX016,CXWorld/CapFrameX,CXWorld/CapFrameX,05b63eb31d08c3841e77bf8462b801c36a2671cb,5a1aead8f33400297600c01e27580915e18306d4,2026-05-09,cfx_list_processes,introduction,source-verified
CFX017,CXWorld/CapFrameX,CXWorld/CapFrameX,05b63eb31d08c3841e77bf8462b801c36a2671cb,5a1aead8f33400297600c01e27580915e18306d4,2026-05-09,cfx_start_capture,introduction,source-verified
CFX018,CXWorld/CapFrameX,CXWorld/CapFrameX,05b63eb31d08c3841e77bf8462b801c36a2671cb,5a1aead8f33400297600c01e27580915e18306d4,2026-05-09,cfx_stop_capture,introduction,source-verified
CFX019,CXWorld/CapFrameX,CXWorld/CapFrameX,05b63eb31d08c3841e77bf8462b801c36a2671cb,5a1aead8f33400297600c01e27580915e18306d4,2026-05-09,cfx_wait_for_capture_completion,introduction,source-verified
CFX020,CXWorld/CapFrameX,CXWorld/CapFrameX,05b63eb31d08c3841e77bf8462b801c36a2671cb,5a1aead8f33400297600c01e27580915e18306d4,2026-05-09,cfx_get_config,introduction,source-verified
