transition_id,server_family,repository,before_boundary,after_boundary,cluster_date,tool_identity,transition_type,evidence_status,corpus_status
SC001,Shortcut,useshortcut/mcp-server-shortcut,8bbd6224f3874f223a974c1b7f23214e8352dc8c,78607f0b67814873e03da1772271851fd0466baf,2025-03-10,get-current-user,introduction,source-verified,manuscript-consistent-family-boundary
SC002,Shortcut,useshortcut/mcp-server-shortcut,8bbd6224f3874f223a974c1b7f23214e8352dc8c,78607f0b67814873e03da1772271851fd0466baf,2025-03-10,get-story,introduction,source-verified,manuscript-consistent-family-boundary
SC003,Shortcut,useshortcut/mcp-server-shortcut,8bbd6224f3874f223a974c1b7f23214e8352dc8c,78607f0b67814873e03da1772271851fd0466baf,2025-03-10,search-stories,introduction,source-verified,manuscript-consistent-family-boundary
SC004,Shortcut,useshortcut/mcp-server-shortcut,8bbd6224f3874f223a974c1b7f23214e8352dc8c,78607f0b67814873e03da1772271851fd0466baf,2025-03-10,get-iteration-stories,introduction,source-verified,manuscript-consistent-family-boundary
SC005,Shortcut,useshortcut/mcp-server-shortcut,8bbd6224f3874f223a974c1b7f23214e8352dc8c,78607f0b67814873e03da1772271851fd0466baf,2025-03-10,get-iteration,introduction,source-verified,manuscript-consistent-family-boundary
SC006,Shortcut,useshortcut/mcp-server-shortcut,8bbd6224f3874f223a974c1b7f23214e8352dc8c,78607f0b67814873e03da1772271851fd0466baf,2025-03-10,search-iterations,introduction,source-verified,manuscript-consistent-family-boundary
SC007,Shortcut,useshortcut/mcp-server-shortcut,8bbd6224f3874f223a974c1b7f23214e8352dc8c,78607f0b67814873e03da1772271851fd0466baf,2025-03-10,get-epic,introduction,source-verified,manuscript-consistent-family-boundary
SC008,Shortcut,useshortcut/mcp-server-shortcut,8bbd6224f3874f223a974c1b7f23214e8352dc8c,78607f0b67814873e03da1772271851fd0466baf,2025-03-10,search-epics,introduction,source-verified,manuscript-consistent-family-boundary
SC009,Shortcut,useshortcut/mcp-server-shortcut,8bbd6224f3874f223a974c1b7f23214e8352dc8c,78607f0b67814873e03da1772271851fd0466baf,2025-03-10,get-objective,introduction,source-verified,manuscript-consistent-family-boundary
SC010,Shortcut,useshortcut/mcp-server-shortcut,8bbd6224f3874f223a974c1b7f23214e8352dc8c,78607f0b67814873e03da1772271851fd0466baf,2025-03-10,search-objectives,introduction,source-verified,manuscript-consistent-family-boundary
SC011,Shortcut,useshortcut/mcp-server-shortcut,ecbe7af97d6570dfeb50de988e475b04eba773d6,02599fbde607890315031debbe04c1f9901589df,2025-03-10,create-story,introduction,source-verified,manuscript-consistent-family-boundary
SC012,Shortcut,useshortcut/mcp-server-shortcut,ecbe7af97d6570dfeb50de988e475b04eba773d6,02599fbde607890315031debbe04c1f9901589df,2025-03-10,assign-current-user-as-owner,introduction,source-verified,manuscript-consistent-family-boundary
SC013,Shortcut,useshortcut/mcp-server-shortcut,ecbe7af97d6570dfeb50de988e475b04eba773d6,02599fbde607890315031debbe04c1f9901589df,2025-03-10,unassign-current-user-as-owner,introduction,source-verified,manuscript-consistent-family-boundary
SC014,Shortcut,useshortcut/mcp-server-shortcut,ecbe7af97d6570dfeb50de988e475b04eba773d6,02599fbde607890315031debbe04c1f9901589df,2025-03-10,get-team,introduction,source-verified,manuscript-consistent-family-boundary
SC015,Shortcut,useshortcut/mcp-server-shortcut,ecbe7af97d6570dfeb50de988e475b04eba773d6,02599fbde607890315031debbe04c1f9901589df,2025-03-10,list-teams,introduction,source-verified,manuscript-consistent-family-boundary
SC016,Shortcut,useshortcut/mcp-server-shortcut,ecbe7af97d6570dfeb50de988e475b04eba773d6,02599fbde607890315031debbe04c1f9901589df,2025-03-10,get-workflow,introduction,source-verified,manuscript-consistent-family-boundary
SC017,Shortcut,useshortcut/mcp-server-shortcut,ecbe7af97d6570dfeb50de988e475b04eba773d6,02599fbde607890315031debbe04c1f9901589df,2025-03-10,list-workflows,introduction,source-verified,manuscript-consistent-family-boundary
