mutation_id,server_family,repository,cluster_id,cluster_date,before_boundary,after_boundary,tool_identity,source_path,structural_category,changed_paths,verified_change_summary,evidence_status,semantic_label_status,notes
CFXM01,CXWorld/CapFrameX,CXWorld/CapFrameX,SCFX01,2026-05-21,5e62f33f3035ae61961967ab3d13c68e1d2c7ea1,d7059daa32ff2435af08b6f3224a42fe77b9a89f,cfx_get_metrics,source/CapFrameX.Mcp/Tools/MetricsTools.cs,model-visible semantics,/description,"Tool description expands from FPS-based statistical metrics to include AnimationErrorP99 and AnimationErrorAverage, with absolute-value/ms guidance.",source-diff-verified,pending independent annotation,
CFXM02,CXWorld/CapFrameX,CXWorld/CapFrameX,SCFX02,2026-08-06,df64fe2b6c6c49b6087c036fb627128b48b9c340,15430ea5da3495f71197e40d2d6a11389ded092c,cfx_get_config,source/CapFrameX.Mcp/Tools/ConfigWriteTools.cs,model-visible semantics,/description,Description adds guidance to use cfx_get_osd_options for the complete typed OSD snapshot.,source-diff-verified,pending independent annotation,
CFXM03,CXWorld/CapFrameX,CXWorld/CapFrameX,SCFX02,2026-08-06,df64fe2b6c6c49b6087c036fb627128b48b9c340,15430ea5da3495f71197e40d2d6a11389ded092c,cfx_set_config,source/CapFrameX.Mcp/Tools/ConfigWriteTools.cs,model-visible semantics,/description,Description adds guidance to use cfx_set_osd_options so validation and runtime notifications are applied.,source-diff-verified,pending independent annotation,
CFXM04,CXWorld/CapFrameX,CXWorld/CapFrameX,SCFX02,2026-08-06,df64fe2b6c6c49b6087c036fb627128b48b9c340,15430ea5da3495f71197e40d2d6a11389ded092c,cfx_toggle_overlay_entry,source/CapFrameX.Mcp/Tools/ConfigWriteTools.cs,model-visible semantics,/description,Persistence guidance changes from cfx_set_overlay_config to the validated cfx_set_overlay_entry path.,source-diff-verified,pending independent annotation,
CFXM05,CXWorld/CapFrameX,CXWorld/CapFrameX,SCFX02,2026-08-06,df64fe2b6c6c49b6087c036fb627128b48b9c340,15430ea5da3495f71197e40d2d6a11389ded092c,cfx_get_overlay_entries,source/CapFrameX.Mcp/Tools/OverlayConfigTools.cs,model-visible semantics,/description,"Description expands the reported surface to formatted values, UI capabilities, ordering, fonts, formats, colors, limits, and limit state.",source-diff-verified,pending independent annotation,
CFXM06,CXWorld/CapFrameX,CXWorld/CapFrameX,SCFX03,2026-08-08,d427d29b97da91b3750e18af9cb2fdef66d9d9c0,c3009d86d334100025c0f0659d71a31a617c5129,cfx_set_osd_options,source/CapFrameX.Mcp/Tools/OsdOptionsTools.cs,input-schema addition,/inputSchema/properties/hookFreeRefreshRate,"Adds optional hookFreeRefreshRate input with documented allowed values 1,2,5,10,20,30 Hz and matching runtime validation.",source-diff-verified,pending independent annotation,
CFXM07,CXWorld/CapFrameX,CXWorld/CapFrameX,SCFX04,2026-08-18,fb2f611a7788484678265deb5f1cdc3fbbbc0cda,15b8c7d0b162df35c6a44d28e470ccc8f017c580,cfx_set_osd_options,source/CapFrameX.Mcp/Tools/OsdOptionsTools.cs,input-schema addition,/inputSchema/properties/overlayPositionHotkey,Adds optional overlayPositionHotkey input with model-visible hotkey guidance and validation.,source-diff-verified,pending independent annotation,
CFXM08,CXWorld/CapFrameX,CXWorld/CapFrameX,SCFX05,2026-08-29,ed1796bf992a0f45cf7b1c679ee475e83b6b0951,aa7114d8257e5a8c2b48165cb7d9ba3cf33fda20,cfx_set_osd_options,source/CapFrameX.Mcp/Tools/OsdOptionsTools.cs,constraint-description expansion,/inputSchema/properties/hookFreeRefreshRate/description,"Model-visible allowed-rate guidance expands from 1,2,5,10,20,30 to also include 60 and 120 Hz; runtime validation expands in the same direction.",source-diff-verified,pending independent annotation,
TFMX01,Terraform MCP,hashicorp/terraform-mcp-server,STFM01,2025-08-20,7961cc097056c3188f599485e63c154ba57e474e,ae341b1e07334b0b3412bf62ad03448ed270e7ac,get_latest_module_version,pkg/tools/get_latest_module_version.go,annotation/trust-hint,/annotations/destructiveHint,Adds explicit destructiveHint=false to an already-present Tool definition; the hint was previously absent.,source-diff-verified,pending independent annotation,
TFMX02,Terraform MCP,hashicorp/terraform-mcp-server,STFM01,2025-08-20,7961cc097056c3188f599485e63c154ba57e474e,ae341b1e07334b0b3412bf62ad03448ed270e7ac,get_latest_provider_version,pkg/tools/get_latest_provider_version.go,annotation/trust-hint,/annotations/destructiveHint,Adds explicit destructiveHint=false to an already-present Tool definition; the hint was previously absent.,source-diff-verified,pending independent annotation,
TFMX03,Terraform MCP,hashicorp/terraform-mcp-server,STFM01,2025-08-20,7961cc097056c3188f599485e63c154ba57e474e,ae341b1e07334b0b3412bf62ad03448ed270e7ac,get_module_details,pkg/tools/get_module_details.go,annotation/trust-hint,/annotations/destructiveHint,Adds explicit destructiveHint=false to an already-present Tool definition; the hint was previously absent.,source-diff-verified,pending independent annotation,
TFMX04,Terraform MCP,hashicorp/terraform-mcp-server,STFM01,2025-08-20,7961cc097056c3188f599485e63c154ba57e474e,ae341b1e07334b0b3412bf62ad03448ed270e7ac,get_policy_details,pkg/tools/get_policy_details.go,annotation/trust-hint,/annotations/destructiveHint,Adds explicit destructiveHint=false to an already-present Tool definition; the hint was previously absent.,source-diff-verified,pending independent annotation,
TFMX05,Terraform MCP,hashicorp/terraform-mcp-server,STFM01,2025-08-20,7961cc097056c3188f599485e63c154ba57e474e,ae341b1e07334b0b3412bf62ad03448ed270e7ac,get_provider_details,pkg/tools/get_provider_details.go,annotation/trust-hint,/annotations/destructiveHint,Adds explicit destructiveHint=false to an already-present Tool definition; the hint was previously absent.,source-diff-verified,pending independent annotation,
TFMX06,Terraform MCP,hashicorp/terraform-mcp-server,STFM01,2025-08-20,7961cc097056c3188f599485e63c154ba57e474e,ae341b1e07334b0b3412bf62ad03448ed270e7ac,list_terraform_orgs,pkg/tools/list_terraform_orgs.go,annotation/trust-hint,/annotations/destructiveHint,Adds explicit destructiveHint=false to an already-present Tool definition; the hint was previously absent.,source-diff-verified,pending independent annotation,
TFMX07,Terraform MCP,hashicorp/terraform-mcp-server,STFM01,2025-08-20,7961cc097056c3188f599485e63c154ba57e474e,ae341b1e07334b0b3412bf62ad03448ed270e7ac,list_terraform_projects,pkg/tools/list_terraform_projects.go,annotation/trust-hint,/annotations/destructiveHint,Adds explicit destructiveHint=false to an already-present Tool definition; the hint was previously absent.,source-diff-verified,pending independent annotation,
TFMX08,Terraform MCP,hashicorp/terraform-mcp-server,STFM01,2025-08-20,7961cc097056c3188f599485e63c154ba57e474e,ae341b1e07334b0b3412bf62ad03448ed270e7ac,search_modules,pkg/tools/search_modules.go,annotation/trust-hint,/annotations/destructiveHint,Adds explicit destructiveHint=false to an already-present Tool definition; the hint was previously absent.,source-diff-verified,pending independent annotation,
TFMX09,Terraform MCP,hashicorp/terraform-mcp-server,STFM01,2025-08-20,7961cc097056c3188f599485e63c154ba57e474e,ae341b1e07334b0b3412bf62ad03448ed270e7ac,search_policies,pkg/tools/search_policies.go,annotation/trust-hint,/annotations/destructiveHint,Adds explicit destructiveHint=false to an already-present Tool definition; the hint was previously absent.,source-diff-verified,pending independent annotation,
TFMX10,Terraform MCP,hashicorp/terraform-mcp-server,STFM01,2025-08-20,7961cc097056c3188f599485e63c154ba57e474e,ae341b1e07334b0b3412bf62ad03448ed270e7ac,search_providers,pkg/tools/search_providers.go,annotation/trust-hint,/annotations/destructiveHint,Adds explicit destructiveHint=false to an already-present Tool definition; the hint was previously absent.,source-diff-verified,pending independent annotation,
TFMX11,Terraform MCP,hashicorp/terraform-mcp-server,STFM02,2025-09-23,0be75284be74d0e7f6b186c884db692bc582f06e,ff39cb85341698e904e876be635a15706c0ead7e,create_run,pkg/tools/tfe/create_run.go,security-sensitive default/constraint,/annotations/destructiveHint;/inputSchema/properties/run_type/enum,"With default ENABLE_TF_OPERATIONS=false, create_run changes from destructiveHint=true to false and removes auto_approve and is_destroy from the run_type enum.",source-diff-verified,pending independent annotation,Configuration-qualified: ENABLE_TF_OPERATIONS=true retains the destructive CreateRun variant; the environment variable defaults to false and selects CreateRunSafe.
TFMX12,Terraform MCP,hashicorp/terraform-mcp-server,STFM03,2026-09-10,d94bcd8826047a0772a590a3fde7af9ca01f6b2a,3a7eaba3ba3e6bbfa9c2f31ee3b5c7b29656dff0,get_private_module_details,pkg/tools/tfe/get_private_module_details.go,model-visible semantics,/description;/inputSchema/properties/private_module_id/description,"Tool description newly states that all published submodules are reported with their own inputs, outputs, provider dependencies, resources, and README; the parameter description is also normalized.",source-diff-verified,pending independent annotation,
PLWM01,Playwright MCP,microsoft/playwright,SPLW01,2026-09-03,52900a1b99ca51011526afcaf8981970cc1a521a,7894f5653e7f253c17aa1638c19f63e0d54d5e0e,browser_console_messages,packages/playwright-core/src/tools/backend/console.ts,model-visible path semantics,/inputSchema/properties/filename/description,Filename guidance now states that relative file names are resolved against the workspace root.,source-diff-verified,pending independent annotation,
PLWM02,Playwright MCP,microsoft/playwright,SPLW01,2026-09-03,52900a1b99ca51011526afcaf8981970cc1a521a,7894f5653e7f253c17aa1638c19f63e0d54d5e0e,browser_evaluate,packages/playwright-core/src/tools/backend/evaluate.ts,model-visible path semantics,/inputSchema/properties/filename/description,Filename guidance now states that relative file names are resolved against the workspace root.,source-diff-verified,pending independent annotation,
PLWM03,Playwright MCP,microsoft/playwright,SPLW01,2026-09-03,52900a1b99ca51011526afcaf8981970cc1a521a,7894f5653e7f253c17aa1638c19f63e0d54d5e0e,browser_network_requests,packages/playwright-core/src/tools/backend/network.ts,model-visible path semantics,/inputSchema/properties/filename/description,Filename guidance now states that relative file names are resolved against the workspace root.,source-diff-verified,pending independent annotation,
PLWM04,Playwright MCP,microsoft/playwright,SPLW01,2026-09-03,52900a1b99ca51011526afcaf8981970cc1a521a,7894f5653e7f253c17aa1638c19f63e0d54d5e0e,browser_network_request,packages/playwright-core/src/tools/backend/network.ts,model-visible path semantics,/inputSchema/properties/filename/description,Filename guidance now states that relative file names are resolved against the workspace root.,source-diff-verified,pending independent annotation,
PLWM05,Playwright MCP,microsoft/playwright,SPLW01,2026-09-03,52900a1b99ca51011526afcaf8981970cc1a521a,7894f5653e7f253c17aa1638c19f63e0d54d5e0e,browser_pdf_save,packages/playwright-core/src/tools/backend/pdf.ts,model-visible path semantics,/inputSchema/properties/filename/description,Filename guidance changes to explicit workspace-root resolution for named files and output-directory placement for automatically named PDFs.,source-diff-verified,pending independent annotation,
PLWM06,Playwright MCP,microsoft/playwright,SPLW01,2026-09-03,52900a1b99ca51011526afcaf8981970cc1a521a,7894f5653e7f253c17aa1638c19f63e0d54d5e0e,browser_run_code_unsafe,packages/playwright-core/src/tools/backend/runCode.ts,model-visible path semantics,/inputSchema/properties/filename/description,Code-file guidance now states that relative file names are resolved against the workspace root.,source-diff-verified,pending independent annotation,
PLWM07,Playwright MCP,microsoft/playwright,SPLW01,2026-09-03,52900a1b99ca51011526afcaf8981970cc1a521a,7894f5653e7f253c17aa1638c19f63e0d54d5e0e,browser_take_screenshot,packages/playwright-core/src/tools/backend/screenshot.ts,model-visible path semantics,/inputSchema/properties/filename/description,Screenshot filename guidance now states workspace-root resolution for explicit names and output-directory placement for automatic names.,source-diff-verified,pending independent annotation,
PLWM08,Playwright MCP,microsoft/playwright,SPLW01,2026-09-03,52900a1b99ca51011526afcaf8981970cc1a521a,7894f5653e7f253c17aa1638c19f63e0d54d5e0e,browser_snapshot,packages/playwright-core/src/tools/backend/snapshot.ts,model-visible path semantics,/inputSchema/properties/filename/description,Snapshot guidance changes from markdown-file wording to generic file wording and adds workspace-root resolution for relative names.,source-diff-verified,pending independent annotation,
PLWM09,Playwright MCP,microsoft/playwright,SPLW01,2026-09-03,52900a1b99ca51011526afcaf8981970cc1a521a,7894f5653e7f253c17aa1638c19f63e0d54d5e0e,browser_storage_state,packages/playwright-core/src/tools/backend/storage.ts,model-visible path semantics,/inputSchema/properties/filename/description,Storage-state filename guidance now states workspace-root resolution for explicit names and output-directory placement for automatic names.,source-diff-verified,pending independent annotation,
PLWM10,Playwright MCP,microsoft/playwright,SPLW01,2026-09-03,52900a1b99ca51011526afcaf8981970cc1a521a,7894f5653e7f253c17aa1638c19f63e0d54d5e0e,browser_set_storage_state,packages/playwright-core/src/tools/backend/storage.ts,model-visible path semantics,/inputSchema/properties/filename/description,Restore-path guidance now states that relative file names are resolved against the workspace root.,source-diff-verified,pending independent annotation,
PLWM11,Playwright MCP,microsoft/playwright,SPLW01,2026-09-03,52900a1b99ca51011526afcaf8981970cc1a521a,7894f5653e7f253c17aa1638c19f63e0d54d5e0e,browser_start_video,packages/playwright-core/src/tools/backend/video.ts,model-visible path semantics,/inputSchema/properties/filename/description,Video filename guidance now states workspace-root resolution for explicit names and output-directory placement for automatic names.,source-diff-verified,pending independent annotation,
PLWM12,Playwright MCP,microsoft/playwright,SPLW02,2026-09-17,24b693260272446eae6f9e2cdddab247fc97557a,8bb2c0972ace1017f0691c7e1fd5d2a049a2a043,browser_start_video,packages/playwright-core/src/tools/backend/video.ts,input-schema addition,/inputSchema/properties/fps,"Adds optional numeric fps parameter described as video frame rate in frames per second, defaulting to 25.",source-diff-verified,pending independent annotation,
