transition_id,server_family,repository,before_boundary,after_boundary,cluster_date,tool_identity,transition_type,evidence_status,corpus_status
TFM001,Terraform MCP,hashicorp/terraform-mcp-server,d3c480f8e58ed90763a5a234022dcd28f953c518,427d024993e51de563412b85cde6560768b81bbb,2026-01-13,attach_policy_set_to_workspaces,introduction,source-verified,provisional-boundary-match
TFM002,Terraform MCP,hashicorp/terraform-mcp-server,66ea4bf3d5d1702b30c1764a98fb0334861de1c1,0ab0727c657b4415c4020abc043c7166de4b33cb,2026-01-14,get_token_permissions,introduction,source-verified,provisional-boundary-match
TFM003,Terraform MCP,hashicorp/terraform-mcp-server,2227faf2dbb1cd726904830f1e654de3f34188d0,fd95142b381136b458397b6c9f22d179abb2c0cd,2026-01-15,list_stacks,introduction,source-verified,provisional-boundary-match
TFM004,Terraform MCP,hashicorp/terraform-mcp-server,2227faf2dbb1cd726904830f1e654de3f34188d0,fd95142b381136b458397b6c9f22d179abb2c0cd,2026-01-15,get_stack_details,introduction,source-verified,provisional-boundary-match
TFM005,Terraform MCP,hashicorp/terraform-mcp-server,d4d6db3c4c4819cdbef890602465447f77f3add6,348662e923c9761aa319c61992ecb32d5f55328d,2026-01-15,list_workspace_policy_sets,introduction,source-verified,provisional-boundary-match
TFM006,Terraform MCP,hashicorp/terraform-mcp-server,0a9235a2397b1d1d2fc01832f77b4c5999573b7b,5cfd8d65e92c099b6793e345607c94d1c45ecd97,2026-04-01,get_plan_json_output,introduction,source-verified,provisional-boundary-match
TFM007,Terraform MCP,hashicorp/terraform-mcp-server,0a9235a2397b1d1d2fc01832f77b4c5999573b7b,5cfd8d65e92c099b6793e345607c94d1c45ecd97,2026-04-01,get_plan_details,introduction,source-verified,provisional-boundary-match
TFM008,Terraform MCP,hashicorp/terraform-mcp-server,0a9235a2397b1d1d2fc01832f77b4c5999573b7b,5cfd8d65e92c099b6793e345607c94d1c45ecd97,2026-04-01,get_plan_logs,introduction,source-verified,provisional-boundary-match
TFM009,Terraform MCP,hashicorp/terraform-mcp-server,0a9235a2397b1d1d2fc01832f77b4c5999573b7b,5cfd8d65e92c099b6793e345607c94d1c45ecd97,2026-04-01,get_apply_details,introduction,source-verified,provisional-boundary-match
TFM010,Terraform MCP,hashicorp/terraform-mcp-server,0a9235a2397b1d1d2fc01832f77b4c5999573b7b,5cfd8d65e92c099b6793e345607c94d1c45ecd97,2026-04-01,get_apply_logs,introduction,source-verified,provisional-boundary-match
TFM011,Terraform MCP,hashicorp/terraform-mcp-server,8cf9e3bb1c561f65ef8d6a0e24647e715c12ec1a,8d60e3c8614682dba1acc2fb1f326fd4e7211f09,2026-05-07,get_sentinel_mock,introduction,source-verified,provisional-boundary-match
TFM012,Terraform MCP,hashicorp/terraform-mcp-server,defffe9ce5089b7eaff0060af76d683ccb751d27,e0868c6358c53840ae69287ab442f0dec0e2d8bf,2026-07-08,force_unlock_workspace,introduction,source-verified,provisional-boundary-match
